MedicineID,Name,CategoryID,DosageForm,Strength,QuantityInStock,Price,ExpiryDate,SupplierID
MD001,Diclofenac,CT002,Viên nén,50mg,176,70000,05/10/2024,SP002
MD002,Ambroxol,CT004,Sirô uống,15mg/5ml,50,40000,14/07/2024,SP001
MD003,Salbutamol,CT004,Viên nén,2mg,51,30000,27/02/2024,SP002
MD004,Rosuvastatin,CT005,Viên nén,10mg,20,150000,12/10/2024,SP002
MD005,Ketorolac,CT002,Viên nén,10mg,188,100000,01/07/2024,SP001
MD006,Nitroglycerin,CT005,Viên nén ngậm,0.3mg,128,50000,01/06/2024,SP001
MD007,Metoclopramide,CT003,Viên nén,10mg,90,35000,22/10/2024,SP002
MD008,Loperamide,CT003,Viên nang,2mg,191,20000,03/08/2024,SP001
MD009,Montelukast,CT004,Viên nén,10mg,146,200000,17/07/2024,SP001
MD010,Acetaminophen + Codeine,CT002,Viên nén,325mg + 30mg,181,150000,22/05/2024,SP001
MD011,Aspirin,CT002,Viên nén,81mg,173,25000,23/03/2024,SP001
MD012,Clindamycin,CT001,Viên nang,300mg,90,120000,07/06/2024,SP001
MD013,Cetirizine,CT004,Viên nén,10mg,83,60000,23/09/2024,SP001
MD014,Erythromycin,CT001,Viên nén,250mg,50,90000,21/04/2024,SP001
MD015,Ciprofloxacin,CT001,Viên nén,500mg,77,70000,19/08/2024,SP002
MD016,Cefuroxime,CT001,Viên nén,500mg,182,150000,05/03/2024,SP002
MD017,Losartan,CT005,Viên nén,50mg,19,60000,22/09/2024,SP001
MD018,Digoxin,CT005,Viên nén,0.25mg,163,50000,06/04/2024,SP001
MD019,Clopidogrel,CT005,Viên nén,75mg,51,200000,15/09/2024,SP001
MD020,Morphine sulfate,CT002,Viên nén,10mg,107,500000,28/09/2024,SP002
MD021,Linezolid,CT001,Viên nén,600mg,48,500000,17/11/2024,SP002
MD022,Naproxen,CT002,Viên nén,250mg,146,150000,13/11/2024,SP001
MD023,Domperidone,CT003,Viên nén,10mg,142,30000,23/03/2024,SP001
MD024,Fluticasone,CT004,Hít khí dung,125mcg,132,200000,17/06/2024,SP002
MD025,Theophylline,CT004,Viên nén,200mg,93,60000,15/05/2024,SP001
MD026,Amoxicillin,CT001,Viên nén,500mg,40,50000,09/10/2024,SP002
MD027,Atorvastatin,CT005,Viên nén,20mg,22,120000,23/09/2024,SP002
MD028,Bismuth subsalicylate,CT003,Viên nén,262mg,152,90000,03/06/2024,SP001
MD029,Budesonide,CT004,Hít khí dung,200mcg,46,150000,03/09/2024,SP001
MD030,Metronidazole,CT001,Viên nén,250mg,75,30000,11/12/2024,SP001
MD031,Lactulose,CT003,Dung dịch uống,667mg/ml,34,70000,13/08/2024,SP002
MD032,Ibuprofen,CT002,Viên nén,400mg,20,40000,27/07/2024,SP002
MD033,Loratadine,CT004,Viên nén,10mg,103,70000,06/12/2024,SP002
MD034,Cephalexin,CT001,Viên nang,250mg,95,60000,17/12/2024,SP002
MD035,Pantoprazole,CT003,Viên nén,40mg,13,60000,02/12/2024,SP002
MD036,Azithromycin,CT001,Viên nén,500mg,15,100000,29/03/2024,SP002
MD037,Metoprolol,CT005,Viên nén,50mg,99,90000,20/10/2024,SP002
MD038,Dextromethorphan,CT004,Sirô uống,10mg/5ml,191,25000,23/07/2024,SP002
MD039,Esomeprazole,CT003,Viên nén,20mg,173,70000,28/11/2024,SP001
MD040,Amlodipine,CT005,Viên nén,5mg,162,70000,05/12/2024,SP001
MD041,Paracetamol,CT002,Viên nén,500mg,161,20000,02/12/2024,SP002
MD042,Ranitidine,CT003,Viên nén,150mg,125,40000,11/10/2024,SP001
MD043,Celecoxib,CT002,Viên nang,200mg,154,180000,18/02/2024,SP002
MD044,Captopril,CT005,Viên nén,25mg,187,40000,27/01/2024,SP002
MD045,Omeprazole,CT003,Viên nang,20mg,110,50000,17/02/2024,SP002
MD046,Doxycycline,CT001,Viên nang,100mg,182,80000,04/12/2024,SP001
MD047,Bisoprolol,CT005,Viên nén,5mg,91,100000,31/12/2024,SP002
MD048,Tramadol,CT002,Viên nang,100mg,185,200000,01/04/2024,SP001
MD049,Simethicone,CT003,Viên nang mềm,125mg,120,40000,15/06/2024,SP001
MD050,Acetylcysteine,CT004,Dạng bột uống,200mg,164,50000,24/06/2024,SP001
